Date,CPI,Source
2013-01-01,55.1,MOSPI
2013-02-01,55.5,MOSPI
2013-03-01,55.6,MOSPI
2013-04-01,55.9,MOSPI
2013-05-01,56.3,MOSPI
2013-06-01,57.6,MOSPI
2013-07-01,58.5,MOSPI
2013-08-01,59.2,MOSPI
2013-09-01,59.9,MOSPI
2013-10-01,60.5,MOSPI
2013-11-01,61.3,MOSPI
2013-12-01,60.3,MOSPI
2014-01-01,59.8,MOSPI
2014-02-01,59.8,MOSPI
2014-03-01,60.1,MOSPI
2014-04-01,60.6,MOSPI
2014-05-01,61.0,MOSPI
2014-06-01,61.5,MOSPI
2014-07-01,62.8,MOSPI
2014-08-01,63.4,MOSPI
2014-09-01,63.3,MOSPI
2014-10-01,63.3,MOSPI
2014-11-01,63.3,MOSPI
2014-12-01,62.9,MOSPI
2015-01-01,62.9,MOSPI
2015-02-01,63.0,MOSPI
2015-03-01,63.3,MOSPI
2015-04-01,63.6,MOSPI
2015-05-01,64.0,MOSPI
2015-06-01,64.8,MOSPI
2015-07-01,65.1,MOSPI
2015-08-01,65.7,MOSPI
2015-09-01,66.0,MOSPI
2015-10-01,66.4,MOSPI
2015-11-01,66.7,MOSPI
2015-12-01,66.4,MOSPI
2016-01-01,66.5,MOSPI
2016-02-01,66.4,MOSPI
2016-03-01,66.4,MOSPI
2016-04-01,67.0,MOSPI
2016-05-01,67.7,MOSPI
2016-06-01,68.5,MOSPI
2016-07-01,69.1,MOSPI
2016-08-01,69.1,MOSPI
2016-09-01,68.9,MOSPI
2016-10-01,69.2,MOSPI
2016-11-01,69.1,MOSPI
2016-12-01,68.7,MOSPI
2017-01-01,68.6,MOSPI
2017-02-01,68.8,MOSPI
2017-03-01,68.9,MOSPI
2017-04-01,69.1,MOSPI
2017-05-01,69.2,MOSPI
2017-06-01,69.5,MOSPI
2017-07-01,70.7,MOSPI
2017-08-01,71.3,MOSPI
2017-09-01,71.2,MOSPI
2017-10-01,71.7,MOSPI
2017-11-01,72.5,MOSPI
2017-12-01,72.3,MOSPI
2018-01-01,72.1,MOSPI
2018-02-01,71.8,MOSPI
2018-03-01,71.9,MOSPI
2018-04-01,72.2,MOSPI
2018-05-01,72.6,MOSPI
2018-06-01,72.9,MOSPI
2018-07-01,73.6,MOSPI
2018-08-01,73.9,MOSPI
2018-09-01,73.8,MOSPI
2018-10-01,74.1,MOSPI
2018-11-01,74.2,MOSPI
2018-12-01,73.8,MOSPI
2019-01-01,73.5,MOSPI
2019-02-01,73.7,MOSPI
2019-03-01,73.9,MOSPI
2019-04-01,74.4,MOSPI
2019-05-01,74.8,MOSPI
2019-06-01,75.3,MOSPI
2019-07-01,76.0,MOSPI
2019-08-01,76.4,MOSPI
2019-09-01,76.8,MOSPI
2019-10-01,77.5,MOSPI
2019-11-01,78.3,MOSPI
2019-12-01,79.2,MOSPI
2020-01-01,79.1,MOSPI
2020-02-01,78.5,MOSPI
2020-03-01,78.3,MOSPI
2020-04-01,79.7,MOSPI
2020-05-01,79.5,MOSPI
2020-06-01,80.0,MOSPI
2020-07-01,81.1,MOSPI
2020-08-01,81.5,MOSPI
2020-09-01,82.4,MOSPI
2020-10-01,83.4,MOSPI
2020-11-01,83.7,MOSPI
2020-12-01,82.8,MOSPI
2021-01-01,82.3,MOSPI
2021-02-01,82.5,MOSPI
2021-03-01,82.6,MOSPI
2021-04-01,83.1,MOSPI
2021-05-01,84.5,MOSPI
2021-06-01,85.0,MOSPI
2021-07-01,85.6,MOSPI
2021-08-01,85.8,MOSPI
2021-09-01,86.0,MOSPI
2021-10-01,87.2,MOSPI
2021-11-01,87.8,MOSPI
2021-12-01,87.5,MOSPI
2022-01-01,87.3,MOSPI
2022-02-01,87.5,MOSPI
2022-03-01,88.3,MOSPI
2022-04-01,89.6,MOSPI
2022-05-01,90.4,MOSPI
2022-06-01,90.9,MOSPI
2022-07-01,91.3,MOSPI
2022-08-01,91.8,MOSPI
2022-09-01,92.3,MOSPI
2022-10-01,93.1,MOSPI
2022-11-01,93.0,MOSPI
2022-12-01,92.5,MOSPI
2023-01-01,93.0,MOSPI
2023-02-01,93.1,MOSPI
2023-03-01,93.3,MOSPI
2023-04-01,93.8,MOSPI
2023-05-01,94.3,MOSPI
2023-06-01,95.3,MOSPI
2023-07-01,98.1,MOSPI
2023-08-01,98.1,MOSPI
2023-09-01,97.0,MOSPI
2023-10-01,97.6,MOSPI
2023-11-01,98.1,MOSPI
2023-12-01,97.8,MOSPI
2024-01-01,97.7,MOSPI
2024-02-01,97.9,MOSPI
2024-03-01,97.9,MOSPI
2024-04-01,98.3,MOSPI
2024-05-01,98.9,MOSPI
2024-06-01,100.2,MOSPI
2024-07-01,101.7,MOSPI
2024-08-01,101.7,MOSPI
2024-09-01,102.3,MOSPI
2024-10-01,103.7,MOSPI
2024-11-01,103.5,MOSPI
2024-12-01,102.9,MOSPI
2025-01-01,101.67,MOSPI
2025-02-01,101.32,MOSPI
2025-03-01,101.39,MOSPI
2025-04-01,101.58,MOSPI
2025-05-01,101.9,MOSPI
2025-06-01,102.51,MOSPI
2025-07-01,103.35,MOSPI
2025-08-01,103.74,MOSPI
2025-09-01,103.74,MOSPI
2025-10-01,103.74,MOSPI
2025-11-01,104.01,MOSPI
2025-12-01,104.1,MOSPI
2026-01-01,104.45,MOSPI
2026-02-01,104.57,MOSPI
2026-03-01,104.84,MOSPI
2026-04-01,105.12,MOSPI
