Date,FII_Net,DII_Net,Source
2020-01-01,15000,-8000,SYNTHETIC
2020-02-01,-25000,12000,SYNTHETIC
2020-03-01,-45000,20000,SYNTHETIC
2020-04-01,35000,-15000,SYNTHETIC
2020-05-01,42000,-18000,SYNTHETIC
2020-06-01,38000,-16000,SYNTHETIC
2020-07-01,25000,-10000,SYNTHETIC
2020-08-01,28000,-12000,SYNTHETIC
2020-09-01,22000,-9000,SYNTHETIC
2020-10-01,18000,-7000,SYNTHETIC
2020-11-01,24000,-10000,SYNTHETIC
2020-12-01,32000,-13000,SYNTHETIC
2021-01-01,28000,-12000,SYNTHETIC
2021-02-01,25000,-10000,SYNTHETIC
2021-03-01,-8000,3000,SYNTHETIC
2021-04-01,-15000,6000,SYNTHETIC
2021-05-01,-22000,9000,SYNTHETIC
2021-06-01,-18000,7000,SYNTHETIC
2021-07-01,-12000,5000,SYNTHETIC
2021-08-01,-8000,3000,SYNTHETIC
2021-09-01,5000,-2000,SYNTHETIC
2021-10-01,12000,-5000,SYNTHETIC
2021-11-01,18000,-7000,SYNTHETIC
2021-12-01,25000,-10000,SYNTHETIC
2022-01-01,15000,-6000,SYNTHETIC
2022-02-01,-25000,10000,SYNTHETIC
2022-03-01,-35000,14000,SYNTHETIC
2022-04-01,-40000,16000,SYNTHETIC
2022-05-01,-38000,15000,SYNTHETIC
2022-06-01,-32000,13000,SYNTHETIC
2022-07-01,-28000,11000,SYNTHETIC
2022-08-01,-22000,9000,SYNTHETIC
2022-09-01,-18000,7000,SYNTHETIC
2022-10-01,-12000,5000,SYNTHETIC
2022-11-01,-8000,3000,SYNTHETIC
2022-12-01,5000,-2000,SYNTHETIC
2023-01-01,12000,-5000,SYNTHETIC
2023-02-01,18000,-7000,SYNTHETIC
2023-03-01,22000,-9000,SYNTHETIC
2023-04-01,28000,-11000,SYNTHETIC
2023-05-01,32000,-13000,SYNTHETIC
2023-06-01,35000,-14000,SYNTHETIC
2023-07-01,38000,-15000,SYNTHETIC
2023-08-01,42000,-17000,SYNTHETIC
2023-09-01,45000,-18000,SYNTHETIC
2023-10-01,48000,-19000,SYNTHETIC
2023-11-01,45000,-18000,SYNTHETIC
2023-12-01,42000,-17000,SYNTHETIC
2024-01-01,38000,-15000,SYNTHETIC
2024-02-01,35000,-14000,SYNTHETIC
2024-03-01,32000,-13000,SYNTHETIC
2024-04-01,28000,-11000,SYNTHETIC
2024-05-01,25000,-10000,SYNTHETIC
2024-06-01,22000,-9000,SYNTHETIC
2024-07-01,18000,-7000,SYNTHETIC
2024-08-01,15000,-6000,SYNTHETIC
2024-09-01,12000,-5000,SYNTHETIC
2024-10-01,8000,-3000,SYNTHETIC
2024-11-01,5000,-2000,SYNTHETIC
2024-12-01,2000,-1000,SYNTHETIC
2025-01-01,5000,-2000,SYNTHETIC
2025-02-01,8000,-3000,SYNTHETIC
2025-03-01,12000,-5000,SYNTHETIC
2025-04-01,15000,-6000,SYNTHETIC
2025-05-01,18000,-7000,SYNTHETIC
2025-06-01,22000,-9000,SYNTHETIC
2025-07-01,25000,-10000,SYNTHETIC
2025-08-01,28000,-11000,SYNTHETIC
2025-09-01,32000,-13000,SYNTHETIC
2025-10-01,35000,-14000,SYNTHETIC
2025-11-01,38000,-15000,SYNTHETIC
2025-12-01,42000,-17000,SYNTHETIC
2026-01-01,45000,-18000,SYNTHETIC
2026-02-01,48000,-19000,SYNTHETIC
2026-03-01,45000,-18000,SYNTHETIC
2026-04-01,42000,-17000,SYNTHETIC
