Date,FPI_Equity,FPI_Debt,FPI_Hybrid,FPI_Total
2020-01-31,12123,-11648.0,-46,957
2020-02-29,1820,2097.0,2416,8970
2020-03-31,-61973,-60376.0,-19,-118203
2020-04-30,-6884,-12552.0,544,-14859
2020-05-31,14569,-22935.0,11,-7356
2020-06-30,21832,-1545.0,1957,26009
2020-07-31,7563,-2476.0,1,3301
2020-08-31,47080,-3310.0,3347,49879
2020-09-30,-7783,3958.0,2222,-1196
2020-10-31,19541,1641.0,-207,21826
2020-11-30,60358,-1806.0,-169,62782
2020-12-31,62016,4079.0,2489,71046
2021-01-31,19473,-2518.0,-17,14631
2021-02-28,25787,-6488.0,350,24013
2021-03-31,10482,-6492.0,-281,17023
2021-04-30,-9659,-118.0,599,-8836
2021-05-31,-2954,-1706.0,709,-1958
2021-06-30,17215,-4829.0,-295,12974
2021-07-31,-11308,-782.0,-138,-7410
2021-08-31,2083,12144.0,97,16556
2021-09-30,13154,12804.0,1239,27756
2021-10-31,-13550,-1558.0,-159,-12437
2021-11-30,-5945,983.0,-24,-2521
2021-12-31,-19026,-11799.0,-269,-29702
2022-01-31,-33303,5194.0,1697,-28526
2022-02-28,-35592,-3073.0,110,-38068
2022-03-31,-41123,-5632.0,-68,-50068
2022-04-30,-17144,-4439.0,69,-22688
2022-05-31,-39993,-5506.0,-62,-36518
2022-06-30,-50203,-1414.0,108,-51422
2022-07-31,4989,-2056.0,-176,1971
2022-08-31,51204,3845.0,-1525,56521
2022-09-30,-7624,4012.0,1112,-3955
2022-10-31,-8,-3532.0,-301,-3080
2022-11-30,36239,-1637.0,-214,33847
2022-12-31,11119,-1673.0,-4,9171
2023-01-31,-28852,3531.0,-146,-26544
2023-02-28,-5294,2436.0,-237,-4139
2023-03-31,7936,-2505.0,1195,5899
2023-04-30,11631,806.0,-126,13545
2023-05-31,43838,3276.0,-298,48330
2023-06-30,47148,9178.0,173,56258
2023-07-31,46618,3726.0,-140,47977
2023-08-31,12262,7733.0,1276,18338
2023-09-30,-14768,938.0,-36,-13810
2023-10-31,-24548,6382.0,-115,-17875
2023-11-30,9001,14860.0,-52,24546
2023-12-31,66135,18302.0,4247,84537
2024-01-31,-25744,,24,-6593
2024-02-29,1539,,6997,31817
2024-03-31,35098,,818,51996
2024-04-30,-8671,,94,-16260
2024-05-31,-25586,,-369,-12911
2024-06-30,26565,,1211,41757
2024-07-31,32365,,257,48796
2024-08-31,7320,0.0,1098,25493
2024-09-30,57724,891.0,2455,93538
2024-10-31,-94017,10.0,1250,-96358
2024-11-30,-21612,-5.0,-37,-21444
2024-12-31,15446,-389.0,-1408,25938
2025-01-31,-78027,-121.0,206,-77211
2025-02-28,-34574,367.0,-318,-24301
2025-03-31,-3973,-877.0,-15,32981
2025-04-30,4223,314.0,-388,-20190
2025-05-31,19860,-52.0,-689,30950
2025-06-30,14590,-231.0,150,-7563
2025-07-31,-17741,286.0,-463,-5538
2025-08-31,-34993,-34.0,151,-20505
2025-09-30,-23885,-234.0,223,-12539
2025-10-31,14610,-257.0,2869,35598
2025-11-30,-3765,240.0,104,2836
2025-12-31,-22611,-347.0,-532,-38568
2026-01-31,-35962,42.0,232,-29240
2026-02-28,22615,14.0,-3896,37804
2026-03-31,-117775,-335.0,1868,-125736
2026-04-30,-60847,196.0,444,-70885
2026-05-31,-35633,-313.0,1035,-31220
