Date,Total_Assets,FCA,Notes_Circulation,Deposits,Liabilities,Source
2020-01-03,3500000,68000000,200000,400000,3500000,SYNTHETIC
2020-01-10,3504600,68000500,200050,400800,3504600,SYNTHETIC
2020-01-17,3509200,68001000,200100,401600,3509200,SYNTHETIC
2020-01-24,3513800,68001500,200150,402400,3513800,SYNTHETIC
2020-01-31,3518400,68002000,200200,403200,3518400,SYNTHETIC
2020-02-07,3523000,68002500,200250,404000,3523000,SYNTHETIC
2020-02-14,3527600,68003000,200300,404800,3527600,SYNTHETIC
2020-02-21,3532200,68003500,200350,405600,3532200,SYNTHETIC
2020-02-28,3536800,68004000,200400,406400,3536800,SYNTHETIC
2020-03-06,3541400,68004500,200450,407200,3541400,SYNTHETIC
2020-03-13,3546000,68005000,200500,408000,3546000,SYNTHETIC
2020-03-20,3550600,68005500,200550,408800,3550600,SYNTHETIC
2020-03-27,3555200,68006000,200600,409600,3555200,SYNTHETIC
2020-04-03,3559800,68006500,200650,410400,3559800,SYNTHETIC
2020-04-10,3564400,68007000,200700,411200,3564400,SYNTHETIC
2020-04-17,3569000,68007500,200750,412000,3569000,SYNTHETIC
2020-04-24,3573600,68008000,200800,412800,3573600,SYNTHETIC
2020-05-01,3578200,68008500,200850,413600,3578200,SYNTHETIC
2020-05-08,3582800,68009000,200900,414400,3582800,SYNTHETIC
2020-05-15,3587400,68009500,200950,415200,3587400,SYNTHETIC
2020-05-22,3592000,68010000,201000,416000,3592000,SYNTHETIC
2020-05-29,3596600,68010500,201050,416800,3596600,SYNTHETIC
2020-06-05,3601200,68011000,201100,417600,3601200,SYNTHETIC
2020-06-12,3605800,68011500,201150,418400,3605800,SYNTHETIC
2020-06-19,3610400,68012000,201200,419200,3610400,SYNTHETIC
2020-06-26,3615000,68012500,201250,420000,3615000,SYNTHETIC
2020-07-03,3619600,68013000,201300,420800,3619600,SYNTHETIC
2020-07-10,3624200,68013500,201350,421600,3624200,SYNTHETIC
2020-07-17,3628800,68014000,201400,422400,3628800,SYNTHETIC
2020-07-24,3633400,68014500,201450,423200,3633400,SYNTHETIC
2020-07-31,3638000,68015000,201500,424000,3638000,SYNTHETIC
2020-08-07,3642600,68015500,201550,424800,3642600,SYNTHETIC
2020-08-14,3647200,68016000,201600,425600,3647200,SYNTHETIC
2020-08-21,3651800,68016500,201650,426400,3651800,SYNTHETIC
2020-08-28,3656400,68017000,201700,427200,3656400,SYNTHETIC
2020-09-04,3661000,68017500,201750,428000,3661000,SYNTHETIC
2020-09-11,3665600,68018000,201800,428800,3665600,SYNTHETIC
2020-09-18,3670200,68018500,201850,429600,3670200,SYNTHETIC
2020-09-25,3674800,68019000,201900,430400,3674800,SYNTHETIC
2020-10-02,3679400,68019500,201950,431200,3679400,SYNTHETIC
2020-10-09,3684000,68020000,202000,432000,3684000,SYNTHETIC
2020-10-16,3688600,68020500,202050,432800,3688600,SYNTHETIC
2020-10-23,3693200,68021000,202100,433600,3693200,SYNTHETIC
2020-10-30,3697800,68021500,202150,434400,3697800,SYNTHETIC
2020-11-06,3702400,68022000,202200,435200,3702400,SYNTHETIC
2020-11-13,3707000,68022500,202250,436000,3707000,SYNTHETIC
2020-11-20,3711600,68023000,202300,436800,3711600,SYNTHETIC
2020-11-27,3716200,68023500,202350,437600,3716200,SYNTHETIC
2020-12-04,3720800,68024000,202400,438400,3720800,SYNTHETIC
2020-12-11,3725400,68024500,202450,439200,3725400,SYNTHETIC
2020-12-18,3730000,68025000,202500,440000,3730000,SYNTHETIC
2020-12-25,3734600,68025500,202550,440800,3734600,SYNTHETIC
2021-01-01,3739200,68026000,202600,441600,3739200,SYNTHETIC
2021-01-08,3743800,68026500,202650,442400,3743800,SYNTHETIC
2021-01-15,3748400,68027000,202700,443200,3748400,SYNTHETIC
2021-01-22,3753000,68027500,202750,444000,3753000,SYNTHETIC
2021-01-29,3757600,68028000,202800,444800,3757600,SYNTHETIC
2021-02-05,3762200,68028500,202850,445600,3762200,SYNTHETIC
2021-02-12,3766800,68029000,202900,446400,3766800,SYNTHETIC
2021-02-19,3771400,68029500,202950,447200,3771400,SYNTHETIC
2021-02-26,3776000,68030000,203000,448000,3776000,SYNTHETIC
2021-03-05,3780600,68030500,203050,448800,3780600,SYNTHETIC
2021-03-12,3785200,68031000,203100,449600,3785200,SYNTHETIC
2021-03-19,3789800,68031500,203150,450400,3789800,SYNTHETIC
2021-03-26,3794400,68032000,203200,451200,3794400,SYNTHETIC
2021-04-02,3799000,68032500,203250,452000,3799000,SYNTHETIC
2021-04-09,3803600,68033000,203300,452800,3803600,SYNTHETIC
2021-04-16,3808200,68033500,203350,453600,3808200,SYNTHETIC
2021-04-23,3812800,68034000,203400,454400,3812800,SYNTHETIC
2021-04-30,3817400,68034500,203450,455200,3817400,SYNTHETIC
2021-05-07,3822000,68035000,203500,456000,3822000,SYNTHETIC
2021-05-14,3826600,68035500,203550,456800,3826600,SYNTHETIC
2021-05-21,3831200,68036000,203600,457600,3831200,SYNTHETIC
2021-05-28,3835800,68036500,203650,458400,3835800,SYNTHETIC
2021-06-04,3840400,68037000,203700,459200,3840400,SYNTHETIC
2021-06-11,3845000,68037500,203750,460000,3845000,SYNTHETIC
2021-06-18,3849600,68038000,203800,460800,3849600,SYNTHETIC
2021-06-25,3854200,68038500,203850,461600,3854200,SYNTHETIC
2021-07-02,3858800,68039000,203900,462400,3858800,SYNTHETIC
2021-07-09,3863400,68039500,203950,463200,3863400,SYNTHETIC
2021-07-16,3868000,68040000,204000,464000,3868000,SYNTHETIC
2021-07-23,3872600,68040500,204050,464800,3872600,SYNTHETIC
2021-07-30,3877200,68041000,204100,465600,3877200,SYNTHETIC
2021-08-06,3881800,68041500,204150,466400,3881800,SYNTHETIC
2021-08-13,3886400,68042000,204200,467200,3886400,SYNTHETIC
2021-08-20,3891000,68042500,204250,468000,3891000,SYNTHETIC
2021-08-27,3895600,68043000,204300,468800,3895600,SYNTHETIC
2021-09-03,3900200,68043500,204350,469600,3900200,SYNTHETIC
2021-09-10,3904800,68044000,204400,470400,3904800,SYNTHETIC
2021-09-17,3909400,68044500,204450,471200,3909400,SYNTHETIC
2021-09-24,3914000,68045000,204500,472000,3914000,SYNTHETIC
2021-10-01,3918600,68045500,204550,472800,3918600,SYNTHETIC
2021-10-08,3923200,68046000,204600,473600,3923200,SYNTHETIC
2021-10-15,3927800,68046500,204650,474400,3927800,SYNTHETIC
2021-10-22,3932400,68047000,204700,475200,3932400,SYNTHETIC
2021-10-29,3937000,68047500,204750,476000,3937000,SYNTHETIC
2021-11-05,3941600,68048000,204800,476800,3941600,SYNTHETIC
2021-11-12,3946200,68048500,204850,477600,3946200,SYNTHETIC
2021-11-19,3950800,68049000,204900,478400,3950800,SYNTHETIC
2021-11-26,3955400,68049500,204950,479200,3955400,SYNTHETIC
2021-12-03,3960000,68050000,205000,480000,3960000,SYNTHETIC
2021-12-10,3964600,68050500,205050,480800,3964600,SYNTHETIC
2021-12-17,3969200,68051000,205100,481600,3969200,SYNTHETIC
2021-12-24,3973800,68051500,205150,482400,3973800,SYNTHETIC
2021-12-31,3978400,68052000,205200,483200,3978400,SYNTHETIC
2022-01-07,3983000,68052500,205250,484000,3983000,SYNTHETIC
2022-01-14,3987600,68053000,205300,484800,3987600,SYNTHETIC
2022-01-21,3992200,68053500,205350,485600,3992200,SYNTHETIC
2022-01-28,3996800,68054000,205400,486400,3996800,SYNTHETIC
