Date,Total_Liabilities,FCA,Notes_Circulation,Deposits,Source
2020-01-31,4377768,3070167,2278414,959038.0,RBI_WSS
2020-02-29,4424194,3179435,2320416,947454.0,RBI_WSS
2020-03-31,4699184,3336342,2373668,1011050.0,RBI_WSS
2020-04-30,5076165,3385816,2460582,1181651.0,RBI_WSS
2020-05-31,5299334,3418101,2562603,1294454.0,RBI_WSS
2020-06-30,5359106,3583011,2632418,1210545.0,RBI_WSS
2020-07-31,5381923,3604852,2649445,1242901.0,RBI_WSS
2020-08-31,5486304,3712345,2665391,1335831.0,RBI_WSS
2020-09-30,5448843,3688410,2669875,1372450.0,RBI_WSS
2020-10-31,5465266,3787892,2679925,1396755.0,RBI_WSS
2020-11-30,5721207,3987480,2750848,1488583.0,RBI_WSS
2020-12-31,5681428,3978966,2758409,1460553.0,RBI_WSS
2021-01-31,5682424,3987381,2783749,1448893.0,RBI_WSS
2021-02-28,5738942,3962319,2814203,1503322.0,RBI_WSS
2021-03-31,5705737,3964660,2834462,1511971.0,RBI_WSS
2021-04-30,5797245,4047341,2872895,1467822.0,RBI_WSS
2021-05-31,5816380,4036171,2930881,1452850.0,RBI_WSS
2021-06-30,5990495,4144058,2963957,1675583.0,RBI_WSS
2021-07-31,6192674,4272268,2950407,1857911.0,RBI_WSS
2021-08-31,6284121,4308315,2933072,2001150.0,RBI_WSS
2021-09-30,6327855,4284554,2923865,2079516.0,RBI_WSS
2021-10-31,6440124,4377785,2925247,2108477.0,RBI_WSS
2021-11-30,6353492,4311235,2965646,2054708.0,RBI_WSS
2021-12-31,6426808,4379453,2970938,2032848.0,RBI_WSS
2022-01-31,6229647,4257951,3006151,1914602.0,RBI_WSS
2022-02-28,6278245,4292287,3046152,1898743.0,RBI_WSS
2022-03-31,6309805,4271164,3087949,1823960.0,RBI_WSS
2022-04-30,6151380,4115173,3172815,1705269.0,RBI_WSS
2022-05-31,6102943,4129333,3214955,1641229.0,RBI_WSS
2022-06-30,6122908,4171416,3210124,1667367.0,RBI_WSS
2022-07-31,6064484,4112924,3187360,1591628.0,RBI_WSS
2022-08-31,6021393,4064530,3185355,1478676.0,RBI_WSS
2022-09-30,5845669,3892656,3149963,1474989.0,RBI_WSS
2022-10-31,5833996,3886862,3158742,1405132.0,RBI_WSS
2022-11-30,5853869,3925731,3193506,1335424.0,RBI_WSS
2022-12-31,6148322,4169517,3212045,1413239.0,RBI_WSS
2023-01-31,6111685,4140096,3252059,1344611.0,RBI_WSS
2023-02-28,6182456,4158357,3294725,1339873.0,RBI_WSS
2023-03-31,6280801,4197882,3342288,1365083.0,RBI_WSS
2023-04-30,6317049,4256094,3407973,1288282.0,RBI_WSS
2023-05-31,6285426,4378696,3458129,1169961.0,RBI_WSS
2023-06-30,6267527,4350480,3356978,1381091.0,RBI_WSS
2023-07-31,6401572,4465503,3321369,1488817.0,RBI_WSS
2023-08-31,6403664,4456125,3303128,1546201.0,RBI_WSS
2023-09-30,6427931,4401123,3276973,1616313.0,RBI_WSS
2023-10-31,6349755,4351581,3269934,1582994.0,RBI_WSS
2023-11-30,6418393,4396238,3329794,1539976.0,RBI_WSS
2023-12-31,6611984,4568004,3335410,1531235.0,RBI_WSS
2024-01-31,6757573,4591560,3377903,1628624.0,RBI_WSS
2024-02-29,6797792,4580357,3415209,1663903.0,RBI_WSS
2024-03-31,6892885,4751508,3465294,1668238.0,RBI_WSS
2024-04-30,6725471,4750070,3535114,1428921.0,RBI_WSS
2024-05-31,6955537,4781325,3550506,1572734.0,RBI_WSS
2024-06-30,6952362,4837176,3552720,1749231.0,RBI_WSS
2024-07-31,6931024,4928126,3540340,1666912.0,RBI_WSS
2024-08-31,7040482,5003476,3482555,1702879.0,RBI_WSS
2024-09-30,7157573,5099790,3474449,1715824.0,RBI_WSS
2024-10-31,7149641,5095928,3488363,1730127.0,RBI_WSS
2024-11-30,6895106,4846996,3526683,1538908.0,RBI_WSS
2024-12-31,6926846,4807626,3536444,1461215.0,RBI_WSS
2025-01-31,6948591,4653195,3558938,1399703.0,RBI_WSS
2025-02-28,7150264,4719554,3606046,1433291.0,RBI_WSS
2025-03-31,7413330,4882161,3664012,1547433.0,RBI_WSS
2025-04-30,7462597,4980958,3743978,1432130.0,RBI_WSS
2025-05-31,7721616,5007034,3805608,1603368.0,RBI_WSS
2025-06-30,7783001,5107984,3810070,1777072.0,RBI_WSS
2025-07-31,7745647,5084872,3787633,1767750.0,RBI_WSS
2025-08-31,7870127,5161298,3788176,1732714.0,RBI_WSS
2025-09-30,8016911,5212755,3777204,1744670.0,RBI_WSS
2025-10-31,7982231,5047543,3790325,1568936.0,RBI_WSS
2025-11-30,7946657,5019121,3810583,1515123.0,RBI_WSS
2025-12-31,8023777,5072584,3872585,1375387.0,RBI_WSS
2026-01-31,8349055,5122121,3942195,1508673.0,RBI_WSS
2026-02-28,8875335,5227542,4004152,1792616.0,RBI_WSS
2026-03-31,8975704,5164080,4091324,1743718.0,RBI_WSS
2026-04-30,8935857,5185007,4177432,1695137.0,RBI_WSS
2026-05-31,8826681,5248803,4234982,1374108.0,RBI_WSS
