Date,Total_Liabilities,FCA,Notes_Circulation,Deposits,Source
2020-01-03,4264224,3030135,2245888,894034.0,RBI_WSS
2020-01-10,4302257,3056898,2244106,913132.0,RBI_WSS
2020-01-17,4465051,3097181,2242671,1051975.0,RBI_WSS
2020-01-24,4356470,3057907,2271523,955428.0,RBI_WSS
2020-01-31,4377768,3070167,2278414,959038.0,RBI_WSS
2020-02-07,4354704,3112057,2280962,921029.0,RBI_WSS
2020-02-14,4440172,3144374,2284695,994030.0,RBI_WSS
2020-02-21,4420376,3160250,2311245,952353.0,RBI_WSS
2020-02-28,4424194,3179435,2320416,947454.0,RBI_WSS
2020-03-06,4444064,3186961,2331422,945774.0,RBI_WSS
2020-03-13,4531838,3242475,2321924,990618.0,RBI_WSS
2020-03-20,4724593,3352101,2347848,1028839.0,RBI_WSS
2020-03-27,4699184,3336342,2373668,1011050.0,RBI_WSS
2020-04-03,4711887,3309225,2383278,1027741.0,RBI_WSS
2020-04-10,4950745,3315075,2412993,1187409.0,RBI_WSS
2020-04-17,5029074,3363457,2430710,1193019.0,RBI_WSS
2020-04-24,5076165,3385816,2460582,1181651.0,RBI_WSS
2020-05-01,5163678,3401396,2479951,1224177.0,RBI_WSS
2020-05-08,5181428,3402626,2496611,1222589.0,RBI_WSS
2020-05-15,5229286,3355967,2508819,1299090.0,RBI_WSS
2020-05-22,5286577,3408688,2543244,1302054.0,RBI_WSS
2020-05-29,5299334,3418101,2562603,1294454.0,RBI_WSS
2020-06-05,5301861,3458280,2584761,1250578.0,RBI_WSS
2020-06-12,5229695,3469639,2590153,1170867.0,RBI_WSS
2020-06-19,5301513,3531820,2613007,1194930.0,RBI_WSS
2020-06-26,5359106,3583011,2632418,1210545.0,RBI_WSS
2020-07-03,5354805,3586235,2634218,1195744.0,RBI_WSS
2020-07-10,5336705,3565139,2634067,1195948.0,RBI_WSS
2020-07-17,5315087,3559673,2639014,1224758.0,RBI_WSS
2020-07-24,5374961,3604572,2651466,1228600.0,RBI_WSS
2020-07-31,5381923,3604852,2649445,1242901.0,RBI_WSS
2020-08-07,5406022,3622866,2644672,1256137.0,RBI_WSS
2020-08-14,5472008,3702284,2646131,1281734.0,RBI_WSS
2020-08-21,5508855,3719315,2659755,1280916.0,RBI_WSS
2020-08-28,5486304,3712345,2665391,1335831.0,RBI_WSS
2020-09-04,5496996,3729221,2662007,1348026.0,RBI_WSS
2020-09-18,5427946,3674753,2660905,1376772.0,RBI_WSS
2020-09-25,5448843,3688410,2669875,1372450.0,RBI_WSS
2020-10-02,5372047,3713231,2664016,1300884.0,RBI_WSS
2020-10-09,5351302,3709794,2656476,1311570.0,RBI_WSS
2020-10-16,5365537,3709063,2653562,1332952.0,RBI_WSS
2020-10-23,5416949,3751611,2675166,1360249.0,RBI_WSS
2020-10-30,5465266,3787892,2679925,1396755.0,RBI_WSS
2020-11-06,5528833,3839593,2688064,1428984.0,RBI_WSS
2020-11-13,5552365,3871478,2688725,1439019.0,RBI_WSS
2020-11-20,5653033,3924569,2707002,1473924.0,RBI_WSS
2020-11-27,5721207,3987480,2750848,1488583.0,RBI_WSS
2020-12-04,5698262,3982294,2743952,1488733.0,RBI_WSS
2020-12-11,5652737,3979928,2744155,1445616.0,RBI_WSS
2020-12-18,5684657,3994646,2746809,1468534.0,RBI_WSS
2020-12-25,5681428,3978966,2758409,1460553.0,RBI_WSS
2021-01-01,5684572,3984553,2749859,1454026.0,RBI_WSS
2021-01-08,5688518,3982175,2751458,1460971.0,RBI_WSS
2021-01-15,5696723,3988284,2743696,1492713.0,RBI_WSS
2021-01-22,5700730,3999182,2771243,1456944.0,RBI_WSS
2021-01-29,5682424,3987381,2783749,1448893.0,RBI_WSS
2021-02-05,5700314,3987118,2784521,1468254.0,RBI_WSS
2021-02-12,5733212,4021839,2780045,1512882.0,RBI_WSS
2021-02-18,5681219,3981649,2796268,1472060.0,RBI_WSS
2021-02-26,5738942,3962319,2814203,1503322.0,RBI_WSS
2021-03-05,5739243,3965193,2809908,1520250.0,RBI_WSS
2021-03-09,5680105,3928572,2831727,1504696.0,RBI_WSS
2021-03-11,6297836,4279276,3052620,1911791.0,RBI_WSS
2021-03-12,5757513,4013251,2809858,1532206.0,RBI_WSS
2021-03-19,5699987,3966145,2816693,1519061.0,RBI_WSS
2021-03-26,5705737,3964660,2834462,1511971.0,RBI_WSS
2021-04-02,5699976,3952392,2822821,1531937.0,RBI_WSS
2021-04-16,5670832,3950052,2827991,1490520.0,RBI_WSS
2021-04-23,5796780,4060055,2857645,1466403.0,RBI_WSS
2021-04-30,5797245,4047341,2872895,1467822.0,RBI_WSS
2021-05-07,5864364,4091804,2880247,1473016.0,RBI_WSS
2021-05-21,5821899,4045357,2913024,1470797.0,RBI_WSS
2021-05-28,5816380,4036171,2930881,1452850.0,RBI_WSS
2021-06-04,5837931,4023343,2937217,1570638.0,RBI_WSS
2021-06-11,5855051,4037799,2936065,1618154.0,RBI_WSS
2021-06-18,5952913,4122835,2949472,1676354.0,RBI_WSS
2021-06-25,5990495,4144058,2963957,1675583.0,RBI_WSS
2021-07-02,6059097,4178688,2961524,1749313.0,RBI_WSS
2021-07-09,6116529,4230197,2952976,1797773.0,RBI_WSS
2021-07-16,6152785,4266162,2946228,1823443.0,RBI_WSS
2021-07-23,6192222,4269781,2958354,1846466.0,RBI_WSS
2021-07-30,6192674,4272268,2950407,1857911.0,RBI_WSS
2021-08-06,6187085,4253681,2941015,1877567.0,RBI_WSS
2021-08-13,6261866,4315615,2919525,1959068.0,RBI_WSS
2021-08-20,6255189,4313948,2926858,1966374.0,RBI_WSS
2021-08-27,6284121,4308315,2933072,2001150.0,RBI_WSS
2021-09-03,6270118,4290193,2926662,1993740.0,RBI_WSS
2021-09-10,6246806,4240580,2916737,2011955.0,RBI_WSS
2021-09-17,6300251,4261164,2911885,2083414.0,RBI_WSS
2021-09-24,6327855,4284554,2923865,2079516.0,RBI_WSS
2021-10-01,6304645,4275092,2911532,2080855.0,RBI_WSS
2021-10-08,6312598,4279544,2897815,2097055.0,RBI_WSS
2021-10-15,6326290,4291335,2890265,2110695.0,RBI_WSS
2021-10-22,6400845,4353136,2914133,2109535.0,RBI_WSS
2021-10-29,6440124,4377785,2925247,2108477.0,RBI_WSS
2021-11-05,6397647,4348843,2917700,2103570.0,RBI_WSS
2021-11-12,6401316,4359153,2917689,2106098.0,RBI_WSS
2021-11-19,6358846,4327936,2961581,2055527.0,RBI_WSS
2021-11-26,6353492,4311235,2965646,2054708.0,RBI_WSS
2021-12-03,6355541,4304053,2961030,2062380.0,RBI_WSS
2021-12-10,6334872,4331362,2955757,2032714.0,RBI_WSS
2021-12-17,6344347,4333115,2956654,2035492.0,RBI_WSS
2021-12-31,6426808,4379453,2970938,2032848.0,RBI_WSS
2022-01-07,6348094,4313101,2968500,2023248.0,RBI_WSS
2022-01-14,6264248,4258097,2959237,1991452.0,RBI_WSS
2022-01-21,6249220,4255379,2989898,1969320.0,RBI_WSS
2022-01-28,6229647,4257951,3006151,1914602.0,RBI_WSS
2022-02-04,6301729,4265101,3008989,1985921.0,RBI_WSS
2022-02-11,6233984,4276309,3004604,1929291.0,RBI_WSS
2022-02-18,6223951,4271750,3025718,1909969.0,RBI_WSS
2022-02-25,6278245,4292287,3046152,1898743.0,RBI_WSS
2022-03-04,6271499,4260686,3049374,1913737.0,RBI_WSS
2022-03-18,6354033,4332273,3064946,1903898.0,RBI_WSS
2022-03-23,6309805,4271164,3087949,1823960.0,RBI_WSS
2022-04-01,6254727,4225997,3097443,1822367.0,RBI_WSS
2022-04-08,6261480,4222780,3107637,1794575.0,RBI_WSS
2022-04-15,6140843,4113436,3105703,1733546.0,RBI_WSS
2022-04-22,6109151,4106754,3148104,1692609.0,RBI_WSS
2022-04-29,6151380,4115173,3172815,1705269.0,RBI_WSS
2022-05-06,6094054,4110460,3181381,1647281.0,RBI_WSS
2022-05-13,6074522,4098554,3182321,1654831.0,RBI_WSS
2022-05-20,6081673,4108351,3204195,1655530.0,RBI_WSS
2022-05-27,6102943,4129333,3214955,1641229.0,RBI_WSS
2022-06-03,6130942,4166988,3197840,1678847.0,RBI_WSS
2022-06-10,6155076,4193121,3191136,1681710.0,RBI_WSS
2022-06-17,6149417,4192615,3195019,1684924.0,RBI_WSS
2022-06-24,6122908,4171416,3210124,1667367.0,RBI_WSS
2022-07-01,6104984,4141210,3198495,1692618.0,RBI_WSS
2022-07-08,6141848,4172479,3189152,1694384.0,RBI_WSS
2022-07-15,6135131,4168891,3173670,1677967.0,RBI_WSS
2022-07-22,6103733,4133981,3196521,1632175.0,RBI_WSS
2022-07-29,6064484,4112924,3187360,1591628.0,RBI_WSS
2022-08-05,6064484,4104132,3175269,1568545.0,RBI_WSS
2022-08-12,6035163,4079284,3156104,1543010.0,RBI_WSS
2022-08-19,6031693,4066747,3166385,1525598.0,RBI_WSS
