date,msf_rate,sdf_rate,repo_rate,source
2020-01-01,5.4,4.9,5.15,historical_seed
2020-03-27,4.65,4.15,4.4,historical_seed
2020-05-22,4.25,3.75,4.0,historical_seed
2022-05-04,4.65,4.15,4.4,historical_seed
2022-06-08,5.15,4.65,4.9,historical_seed
2022-08-05,5.65,5.15,5.4,historical_seed
2022-09-30,6.15,5.65,5.9,historical_seed
2022-12-07,6.5,6.0,6.25,historical_seed
2023-02-08,6.75,6.25,6.5,historical_seed
2025-02-07,6.5,6.0,6.25,historical_seed
2025-04-09,6.25,5.75,6.0,historical_seed
2025-06-06,6.0,5.5,5.75,historical_seed
2025-08-07,5.75,5.25,5.5,historical_seed
2025-12-05,5.5,5.0,5.25,historical_seed
2026-05-26,5.5,5.0,5.25,
