Date,Value,Data_Quality,Source_Date
2020-01-31,2.994018077850342,OK,2020-01-31
2020-02-28,3.4641847610473633,OK,2020-02-28
2020-03-31,4.6189117431640625,OK,2020-03-31
2020-04-30,5.5630059242248535,OK,2020-04-30
2020-05-29,6.3716912269592285,OK,2020-05-29
2020-06-30,7.1653337478637695,OK,2020-06-30
2020-07-31,9.061042785644531,OK,2020-07-31
2020-08-31,8.997102737426758,OK,2020-08-31
2020-09-30,13.282601356506348,OK,2020-09-30
2020-10-30,12.242681503295898,OK,2020-10-30
2020-11-30,12.663398742675781,OK,2020-11-30
2020-12-31,10.618375778198242,OK,2020-12-31
2021-01-29,11.831316947937012,OK,2021-01-29
2021-02-26,11.773360252380371,OK,2021-02-26
2021-03-31,14.902986526489258,OK,2021-03-31
2021-04-30,15.428733825683594,OK,2021-04-30
2021-05-31,22.072982788085938,SHIFTED_3d,2021-05-28
2021-06-30,19.249692916870117,OK,2021-06-30
2021-07-30,21.08772850036621,OK,2021-07-30
2021-08-31,20.081771850585938,OK,2021-08-31
2021-09-30,25.687564849853516,OK,2021-09-30
2021-10-29,32.094478607177734,OK,2021-10-29
2021-11-30,29.63785171508789,OK,2021-11-30
2021-12-31,26.1497859954834,OK,2021-12-31
2022-01-31,26.492177963256836,OK,2022-01-31
2022-02-28,30.68640899658203,OK,2022-02-28
2022-03-31,33.10023880004883,OK,2022-03-31
2022-04-29,33.72509765625,OK,2022-04-29
2022-05-31,32.539581298828125,OK,2022-05-31
2022-06-30,27.604930877685547,OK,2022-06-30
2022-07-29,25.935794830322266,OK,2022-07-29
2022-08-31,26.457935333251953,OK,2022-08-31
2022-09-30,25.146440505981445,OK,2022-09-30
2022-10-31,27.119518280029297,OK,2022-10-31
2022-11-30,30.766958236694336,OK,2022-11-30
2022-12-30,30.972070693969727,OK,2022-12-30
2023-01-31,34.515525817871094,OK,2023-01-31
2023-02-28,26.276620864868164,OK,2023-02-28
2023-03-31,31.063968658447266,OK,2023-03-31
2023-04-28,32.274559020996094,OK,2023-04-28
2023-05-31,30.53461456298828,OK,2023-05-31
2023-06-30,33.7485466003418,OK,2023-06-30
2023-07-31,36.95874786376953,OK,2023-07-31
2023-08-31,30.91522979736328,OK,2023-08-31
2023-09-29,27.328615188598633,OK,2023-09-29
2023-10-31,25.4100284576416,OK,2023-10-31
2023-11-30,26.892593383789062,OK,2023-11-30
2023-12-29,28.384540557861328,OK,2023-12-29
2024-01-31,25.49159812927246,OK,2024-01-31
2024-02-29,24.281766891479492,OK,2024-02-29
2024-03-29,29.0076847076416,SHIFTED_1d,2024-03-28
2024-04-30,38.06067657470703,OK,2024-04-30
2024-05-31,36.03748321533203,OK,2024-05-31
2024-06-28,30.74679183959961,OK,2024-06-28
2024-07-31,36.71253204345703,OK,2024-07-31
2024-08-30,37.21871566772461,OK,2024-08-30
2024-09-30,42.175479888916016,OK,2024-09-30
2024-10-31,37.280452728271484,OK,2024-10-31
2024-11-29,29.075878143310547,OK,2024-11-29
2024-12-31,26.29303741455078,OK,2024-12-31
2025-01-31,27.228313446044922,OK,2025-01-31
2025-02-28,26.271408081054688,OK,2025-02-28
2025-03-31,24.52191162109375,OK,2025-03-31
2025-04-30,23.754507064819336,OK,2025-04-30
2025-05-30,19.23958969116211,OK,2025-05-30
2025-06-30,21.628692626953125,OK,2025-06-30
2025-07-31,20.93584632873535,OK,2025-07-31
2025-08-29,23.031396865844727,OK,2025-08-29
2025-09-30,25.451614379882812,OK,2025-09-30
2025-10-31,26.150129318237305,OK,2025-10-31
2025-11-28,28.467914581298828,OK,2025-11-28
2025-12-31,33.76288604736328,OK,2025-12-31
2026-01-30,51.41279602050781,OK,2026-01-30
2026-02-27,57.18033218383789,OK,2026-02-27
2026-03-31,39.87798309326172,OK,2026-03-31
2026-04-30,44.942325592041016,SHIFTED_1d,2026-04-29
