Month,MonthEnd,SyncDate,Status,SourcesAvailable
2020-01,2020-01-31,2020-01-31,COMPLETE,10
2020-02,2020-02-28,2020-02-28,COMPLETE,10
2020-03,2020-03-31,2020-03-31,COMPLETE,10
2020-04,2020-04-30,2020-04-30,COMPLETE,10
2020-05,2020-05-29,2020-05-29,COMPLETE,10
2020-06,2020-06-30,2020-06-30,COMPLETE,10
2020-07,2020-07-31,2020-07-31,COMPLETE,10
2020-08,2020-08-31,2020-08-31,COMPLETE,10
2020-09,2020-09-30,2020-09-30,COMPLETE,10
2020-10,2020-10-30,2020-10-30,COMPLETE,10
2020-11,2020-11-30,2020-11-30,COMPLETE,10
2020-12,2020-12-31,2020-12-31,COMPLETE,10
2021-01,2021-01-29,2021-01-29,COMPLETE,10
2021-02,2021-02-26,2021-02-26,COMPLETE,10
2021-03,2021-03-31,2021-03-31,COMPLETE,10
2021-04,2021-04-30,2021-04-30,COMPLETE,10
2021-05,2021-05-31,2021-05-31,COMPLETE,10
2021-06,2021-06-30,2021-06-30,COMPLETE,10
2021-07,2021-07-30,2021-07-30,COMPLETE,10
2021-08,2021-08-31,2021-08-31,COMPLETE,10
2021-09,2021-09-30,2021-09-30,COMPLETE,10
2021-10,2021-10-29,2021-10-29,COMPLETE,10
2021-11,2021-11-30,2021-11-30,COMPLETE,10
2021-12,2021-12-31,2021-12-31,COMPLETE,10
2022-01,2022-01-31,2022-01-31,COMPLETE,10
2022-02,2022-02-28,2022-02-28,COMPLETE,10
2022-03,2022-03-31,2022-03-31,COMPLETE,10
2022-04,2022-04-29,2022-04-29,COMPLETE,10
2022-05,2022-05-31,2022-05-31,COMPLETE,10
2022-06,2022-06-30,2022-06-30,COMPLETE,10
2022-07,2022-07-29,2022-07-29,COMPLETE,10
2022-08,2022-08-31,2022-08-31,COMPLETE,10
2022-09,2022-09-30,2022-09-30,COMPLETE,10
2022-10,2022-10-31,2022-10-31,COMPLETE,10
2022-11,2022-11-30,2022-11-30,COMPLETE,10
2022-12,2022-12-30,2022-12-30,COMPLETE,10
2023-01,2023-01-31,2023-01-31,COMPLETE,10
2023-02,2023-02-28,2023-02-28,COMPLETE,10
2023-03,2023-03-31,2023-03-31,COMPLETE,10
2023-04,2023-04-28,2023-04-28,COMPLETE,10
2023-05,2023-05-31,2023-05-31,COMPLETE,10
2023-06,2023-06-30,2023-06-30,COMPLETE,10
2023-07,2023-07-31,2023-07-31,COMPLETE,10
2023-08,2023-08-31,2023-08-31,COMPLETE,10
2023-09,2023-09-29,2023-09-29,COMPLETE,10
2023-10,2023-10-31,2023-10-31,COMPLETE,10
2023-11,2023-11-30,2023-11-30,COMPLETE,10
2023-12,2023-12-29,2023-12-29,COMPLETE,10
2024-01,2024-01-31,2024-01-31,COMPLETE,10
2024-02,2024-02-29,2024-02-29,COMPLETE,10
2024-03,2024-03-29,2024-03-29,COMPLETE,10
2024-04,2024-04-30,2024-04-30,COMPLETE,10
2024-05,2024-05-31,2024-05-31,COMPLETE,10
2024-06,2024-06-28,2024-06-28,COMPLETE,10
2024-07,2024-07-31,2024-07-31,COMPLETE,10
2024-08,2024-08-30,2024-08-30,COMPLETE,10
2024-09,2024-09-30,2024-09-30,COMPLETE,10
2024-10,2024-10-31,2024-10-31,COMPLETE,10
2024-11,2024-11-29,2024-11-29,COMPLETE,10
2024-12,2024-12-31,2024-12-31,COMPLETE,10
2025-01,2025-01-31,2025-01-31,COMPLETE,10
2025-02,2025-02-28,2025-02-28,COMPLETE,10
2025-03,2025-03-31,2025-03-31,COMPLETE,10
2025-04,2025-04-30,2025-04-30,COMPLETE,10
2025-05,2025-05-30,2025-05-30,COMPLETE,10
2025-06,2025-06-30,2025-06-30,COMPLETE,10
2025-07,2025-07-31,2025-07-31,COMPLETE,10
2025-08,2025-08-29,2025-08-29,COMPLETE,10
2025-09,2025-09-30,2025-09-30,COMPLETE,10
2025-10,2025-10-31,2025-10-31,COMPLETE,10
2025-11,2025-11-28,2025-11-28,COMPLETE,10
2025-12,2025-12-31,2025-12-31,COMPLETE,10
2026-01,2026-01-30,2026-01-30,COMPLETE,10
2026-02,2026-02-27,2026-02-27,COMPLETE,10
2026-03,2026-03-31,2026-03-31,COMPLETE,10
2026-04,2026-04-30,2026-04-30,COMPLETE,10
