Date,Value,Data_Quality,Source_Date
2020-01-31,11962.099609375,OK,2020-01-31
2020-02-28,11201.75,OK,2020-02-28
2020-03-31,8597.75,OK,2020-03-31
2020-04-30,9859.900390625,OK,2020-04-30
2020-05-29,9580.2998046875,OK,2020-05-29
2020-06-30,10302.099609375,OK,2020-06-30
2020-07-31,11073.4501953125,OK,2020-07-31
2020-08-31,11387.5,OK,2020-08-31
2020-09-30,11247.5498046875,OK,2020-09-30
2020-10-30,11642.400390625,OK,2020-10-30
2020-11-30,12968.9501953125,SHIFTED_3d,2020-11-27
2020-12-31,13981.75,OK,2020-12-31
2021-01-29,13634.599609375,OK,2021-01-29
2021-02-26,14529.150390625,OK,2021-02-26
2021-03-31,14690.7001953125,OK,2021-03-31
2021-04-30,14631.099609375,OK,2021-04-30
2021-05-31,15582.7998046875,OK,2021-05-31
2021-06-30,15721.5,OK,2021-06-30
2021-07-30,15763.0498046875,OK,2021-07-30
2021-08-31,17132.19921875,OK,2021-08-31
2021-09-30,17618.150390625,OK,2021-09-30
2021-10-29,17671.650390625,OK,2021-10-29
2021-11-30,16983.19921875,OK,2021-11-30
2021-12-31,17354.05078125,OK,2021-12-31
2022-01-31,17339.849609375,OK,2022-01-31
2022-02-28,16793.900390625,OK,2022-02-28
2022-03-31,17464.75,OK,2022-03-31
2022-04-29,17102.55078125,OK,2022-04-29
2022-05-31,16584.55078125,OK,2022-05-31
2022-06-30,15780.25,OK,2022-06-30
2022-07-29,17158.25,OK,2022-07-29
2022-08-31,17759.30078125,SHIFTED_1d,2022-08-30
2022-09-30,17094.349609375,OK,2022-09-30
2022-10-31,18012.19921875,OK,2022-10-31
2022-11-30,18758.349609375,OK,2022-11-30
2022-12-30,18105.30078125,OK,2022-12-30
2023-01-31,17662.150390625,OK,2023-01-31
2023-02-28,17303.94921875,OK,2023-02-28
2023-03-31,17359.75,OK,2023-03-31
2023-04-28,18065.0,OK,2023-04-28
2023-05-31,18534.400390625,OK,2023-05-31
2023-06-30,19189.05078125,OK,2023-06-30
2023-07-31,19753.80078125,OK,2023-07-31
2023-08-31,19253.80078125,OK,2023-08-31
2023-09-29,19638.30078125,OK,2023-09-29
2023-10-31,19079.599609375,OK,2023-10-31
2023-11-30,20133.150390625,OK,2023-11-30
2023-12-29,21731.400390625,OK,2023-12-29
2024-01-31,21725.69921875,OK,2024-01-31
2024-02-29,21982.80078125,OK,2024-02-29
2024-03-29,22326.900390625,SHIFTED_1d,2024-03-28
2024-04-30,22604.849609375,OK,2024-04-30
2024-05-31,22530.69921875,OK,2024-05-31
2024-06-28,24010.599609375,OK,2024-06-28
2024-07-31,24951.150390625,OK,2024-07-31
2024-08-30,25235.900390625,OK,2024-08-30
2024-09-30,25810.849609375,OK,2024-09-30
2024-10-31,24205.349609375,OK,2024-10-31
2024-11-29,24131.099609375,OK,2024-11-29
2024-12-31,23644.80078125,OK,2024-12-31
2025-01-31,23508.400390625,OK,2025-01-31
2025-02-28,22124.69921875,OK,2025-02-28
2025-03-31,23519.349609375,SHIFTED_3d,2025-03-28
2025-04-30,24334.19921875,OK,2025-04-30
2025-05-30,24750.69921875,OK,2025-05-30
2025-06-30,25517.05078125,OK,2025-06-30
2025-07-31,24768.349609375,OK,2025-07-31
2025-08-29,24426.849609375,OK,2025-08-29
2025-09-30,24611.099609375,OK,2025-09-30
2025-10-31,25722.099609375,OK,2025-10-31
2025-11-28,26202.94921875,OK,2025-11-28
2025-12-31,26129.599609375,OK,2025-12-31
2026-01-30,25320.650390625,OK,2026-01-30
2026-02-27,25178.650390625,OK,2026-02-27
2026-03-31,22331.400390625,SHIFTED_1d,2026-03-30
2026-04-30,24177.650390625,SHIFTED_1d,2026-04-29
