Date,Value,Data_Quality,Source_Date
2020-01-31,3518400.0,OK,2020-01-31
2020-02-28,3536800.0,OK,2020-02-28
2020-03-31,3555200.0,OK,2020-03-27
2020-04-30,3573600.0,OK,2020-04-24
2020-05-29,3596600.0,OK,2020-05-29
2020-06-30,3615000.0,OK,2020-06-26
2020-07-31,3638000.0,OK,2020-07-31
2020-08-31,3656400.0,OK,2020-08-28
2020-09-30,3674800.0,OK,2020-09-25
2020-10-30,3697800.0,OK,2020-10-30
2020-11-30,3716200.0,OK,2020-11-27
2020-12-31,3734600.0,OK,2020-12-25
2021-01-29,3757600.0,OK,2021-01-29
2021-02-26,3776000.0,OK,2021-02-26
2021-03-31,3794400.0,OK,2021-03-26
2021-04-30,3817400.0,OK,2021-04-30
2021-05-31,3835800.0,OK,2021-05-28
2021-06-30,3854200.0,OK,2021-06-25
2021-07-30,3877200.0,OK,2021-07-30
2021-08-31,3895600.0,OK,2021-08-27
2021-09-30,3914000.0,OK,2021-09-24
2021-10-29,3937000.0,OK,2021-10-29
2021-11-30,3955400.0,OK,2021-11-26
2021-12-31,3978400.0,OK,2021-12-31
2022-01-31,3996800.0,OK,2022-01-28
2022-02-28,4015200.0,OK,2022-02-25
2022-03-31,4033600.0,OK,2022-03-25
2022-04-29,4056600.0,OK,2022-04-29
2022-05-31,4075000.0,OK,2022-05-27
2022-06-30,4093400.0,OK,2022-06-24
2022-07-29,4116400.0,OK,2022-07-29
2022-08-31,4134800.0,OK,2022-08-26
2022-09-30,4157800.0,OK,2022-09-30
2022-10-31,4176200.0,OK,2022-10-28
2022-11-30,4194600.0,OK,2022-11-25
2022-12-30,4217600.0,OK,2022-12-30
2023-01-31,4236000.0,OK,2023-01-27
2023-02-28,4254400.0,OK,2023-02-24
2023-03-31,4277400.0,OK,2023-03-31
2023-04-28,4295800.0,OK,2023-04-28
2023-05-31,4314200.0,OK,2023-05-26
2023-06-30,4337200.0,OK,2023-06-30
2023-07-31,4355600.0,OK,2023-07-28
2023-08-31,4374000.0,OK,2023-08-25
2023-09-29,4397000.0,OK,2023-09-29
2023-10-31,4415400.0,OK,2023-10-27
2023-11-30,4433800.0,OK,2023-11-24
2023-12-29,4456800.0,OK,2023-12-29
2024-01-31,4475200.0,OK,2024-01-26
2024-02-29,4493600.0,OK,2024-02-23
2024-03-29,4516600.0,OK,2024-03-29
2024-04-30,4535000.0,OK,2024-04-26
2024-05-31,4558000.0,OK,2024-05-31
2024-06-28,4576400.0,OK,2024-06-28
2024-07-31,4594800.0,OK,2024-07-26
2024-08-30,4617800.0,OK,2024-08-30
2024-09-30,4636200.0,OK,2024-09-27
2024-10-31,4654600.0,OK,2024-10-25
2024-11-29,4677600.0,OK,2024-11-29
2024-12-31,4696000.0,OK,2024-12-27
2025-01-31,4719000.0,OK,2025-01-31
2025-02-28,4737400.0,OK,2025-02-28
2025-03-31,4755800.0,OK,2025-03-28
2025-04-30,4774200.0,OK,2025-04-25
2025-05-30,4797200.0,OK,2025-05-30
2025-06-30,4815600.0,OK,2025-06-27
2025-07-31,4834000.0,OK,2025-07-25
2025-08-29,4857000.0,OK,2025-08-29
2025-09-30,4875400.0,OK,2025-09-26
2025-10-31,4898400.0,OK,2025-10-31
2025-11-28,4916800.0,OK,2025-11-28
2025-12-31,4935200.0,OK,2025-12-26
2026-01-30,4958200.0,OK,2026-01-30
2026-02-27,4976600.0,OK,2026-02-27
2026-03-31,4995000.0,OK,2026-03-27
2026-04-30,5013400.0,OK,2026-04-24
