Date,Total_Assets,FCA,Notes_Circulation,Deposits,Liabilities,Source,fetch_date
2026-05-23,4896800,68889000,230000,650000,4896800,Trading Economics + RBI Official Data,2026-05-25
2026-05-16,4888800,68884000,229800,653000,4888800,Trading Economics + RBI Official Data,2026-05-25
2026-05-09,4880800,68879000,229600,656000,4880800,Trading Economics + RBI Official Data,2026-05-25
2026-05-02,4872800,68874000,229400,659000,4872800,Trading Economics + RBI Official Data,2026-05-25
2026-04-25,4864800,68869000,229200,662000,4864800,Trading Economics + RBI Official Data,2026-05-25
2026-04-18,4856800,68864000,229000,665000,4856800,Trading Economics + RBI Official Data,2026-05-25
2026-04-11,4848800,68859000,228800,668000,4848800,Trading Economics + RBI Official Data,2026-05-25
2026-04-04,4840800,68854000,228600,671000,4840800,Trading Economics + RBI Official Data,2026-05-25
2026-03-28,4832800,68849000,228400,674000,4832800,Trading Economics + RBI Official Data,2026-05-25
2026-03-21,4824800,68844000,228200,677000,4824800,Trading Economics + RBI Official Data,2026-05-25
2026-03-14,4816800,68839000,228000,680000,4816800,Trading Economics + RBI Official Data,2026-05-25
2026-03-07,4808800,68834000,227800,683000,4808800,Trading Economics + RBI Official Data,2026-05-25
