raw_text,fetch_date
"Result of the 4-day Variable Rate Repo (VRR) auction held on May 25, 2026 278 kb",2026-05-25
"RBI to conduct 4-day Variable Rate Repo (VRR) auction under LAF on May 25, 2026 222 kb",2026-05-25
"Result of the 3-day Variable Rate Repo (VRR) auction held on May 22, 2026 308 kb",2026-05-25
"RBI to conduct 3-day Variable Rate Repo (VRR) auction under LAF on May 22, 2026 159 kb",2026-05-25
"Result of the Overnight Variable Rate Repo (VRR) auction held on May 21, 2026 307 kb",2026-05-25
"RBI to conduct Overnight Variable Rate Repo (VRR) auction under LAF on May 21, 2026 156 kb",2026-05-25
"Result of the 5-day Variable Rate Repo (VRR) auction held on May 20, 2026 311 kb",2026-05-25
"RBI to conduct 5-day Variable Rate Repo (VRR) auction under LAF on May 20, 2026 160 kb",2026-05-25
"RBI publishes Payment System Report, December 2025 288 kb",2026-05-25
"Result of the 7-day Variable Rate Repo (VRR) auction held on May 18, 2026 306 kb",2026-05-25
"RBI to conduct 7-day Variable Rate Repo (VRR) auction under LAF on May 18, 2026 222 kb",2026-05-25
"Result of the 4-day Variable Rate Repo (VRR) auction held on May 25, 2026 278 kb",2026-05-25
"RBI to conduct 4-day Variable Rate Repo (VRR) auction under LAF on May 25, 2026 222 kb",2026-05-25
"Result of the 3-day Variable Rate Repo (VRR) auction held on May 22, 2026 308 kb",2026-05-25
"RBI to conduct 3-day Variable Rate Repo (VRR) auction under LAF on May 22, 2026 159 kb",2026-05-25
"Result of the Overnight Variable Rate Repo (VRR) auction held on May 21, 2026 307 kb",2026-05-25
"RBI to conduct Overnight Variable Rate Repo (VRR) auction under LAF on May 21, 2026 156 kb",2026-05-25
"Result of the 5-day Variable Rate Repo (VRR) auction held on May 20, 2026 311 kb",2026-05-25
"RBI to conduct 5-day Variable Rate Repo (VRR) auction under LAF on May 20, 2026 160 kb",2026-05-25
"RBI publishes Payment System Report, December 2025 288 kb",2026-05-25
"Result of the 7-day Variable Rate Repo (VRR) auction held on May 18, 2026 306 kb",2026-05-25
"RBI to conduct 7-day Variable Rate Repo (VRR) auction under LAF on May 18, 2026 222 kb",2026-05-25
